"Achtse Barrier-Gunterslaer";3742
"Achtse Barrier-Hoeven";3885
"Achtse Barrier-Spaaihoef";4521
"Barrier";2047
"BeA2";28
"Beemden";"x"
"Bennekel-Oost";3348
"Bennekel-West, Gagelbosch";3342
"Bergen";2906
"Binnenstad";4074
"Blaarthem";2523
"Blixembosch-Oost";7386
"Blixembosch-West";2017
"Bloemenplein";1230
"Bokt";127
"Bosrijk";606
"Burghplan";3014
"Castiliëlaan";637
"Doornakkers-Oost";2915
"Doornakkers-West";3555
"Drents Dorp";2654
"Driehoeksbos";934
"Eckart";4312
"Eckartdal";316
"Eikenburg";1506
"Eindhoven Airport";"x"
"Eliasterrein, Vonderkwartier";3328
"Elzent-Noord";1255
"Elzent-Zuid";285
"Engelsbergen";633
"Esp";18
"Fellenoord";197
"Flight Forum";"x"
"Genderbeemd";3600
"Genderdal";2950
"Generalenbuurt";5339
"Gennep";38
"Genneperzijde";1362
"Gerardusplein";3380
"Gijzenrooi";1772
"Gildebuurt";2280
"Grasrijk";5950
"Hagenkamp";1234
"Hanevoet";3708
"Heesterakker";2667
"Hemelrijken";4122
"Herdgang";13
"Het Ven";3692
"Hondsheuvels";417
"Hurk";53
"Irisbuurt";2643
"Jagershoef";3592
"Joriskwartier";1295
"Kapelbeemd";113
"Karpen";464
"Kerkdorp Acht";3574
"Kerstroosplein";1894
"Koudenhoven";524
"Kronehoef";4748
"Kruidenbuurt";3322
"Lakerlopen";3233
"Leenderheide";"x"
"Lievendaal";3180
"Limbeek-Noord";2929
"Limbeek-Zuid";1353
"Looiakkers";716
"Luytelaer";998
"Meerbos";60
"Meerrijk";1112
"Mensfort";3202
"Mispelhoef";19
"Muschberg, Geestenberg";3966
"Nieuwe Erven";1171
"Ooievaarsnest";894
"Oude Gracht-Oost";1312
"Oude Gracht-West";2896
"Oude Spoorbaan";2185
"Oude Toren";1722
"Park Forum";25
"Philipsdorp";3303
"Poeijers";"x"
"Prinsejagt";4716
"Puttense Dreef";1283
"Rapelenburg";1266
"Rapenland";2340
"Riel";113
"Rochusbuurt";1830
"Roosten";751
"Schoot";3561
"Schouwbroek";1520
"Schrijversbuurt";3569
"Schuttersbosch";719
"Sintenbuurt";1928
"Sportpark Aalsterweg";20
"Strijp S";3125
"'t Hofke";3791
"'t Hool";2298
"Tempel";5173
"Tivoli";1530
"Tongelresche Akkers";2097
"Tuindorp";2877
"TU-terrein";794
"Urkhoven";187
"Vaartbroek";5356
"Villapark";2505
"Vlokhoven";3595
"Vredeoord";464
"Waterrijk";2563
"Wielewaal";115
"Winkelcentrum";676
"Witte Dame";2262
"Woenselse Heide";5287
"Woenselse Watermolen";1646
"Woensel-West";5850
"Zandrijk";2864
"Zwaanstraat";1372
